sim_id	distance	allele0	allele1
SimX	0.00536   	1	1.3
SimX	0.00536   	1	1.25
SimX	0.00536   	1	1.3
SimX	0.00536   	1	1.4
SimX	0.00536   	1	1.4
SimX	0.00536   	1	1.4
SimX	0.00536   	1	1.35
SimX	0.00536   	1	1.4
SimX	0.00536   	1	1.4
SimX	0.00536   	1	1.3
SimX	0.00536   	1	1.3
SimX	0.00538   	1	1.35
SimX	0.00538   	1	1.35
SimX	0.00538   	1	1.35
SimX	0.00538   	1	1.5
SimX	0.0054    	1	1.35
SimX	0.0054    	1	1.3
SimX	0.0054    	1	1.3
SimX	0.0054    	1	1.4
SimX	0.00542   	1	1.4
SimX	0.00542   	1	1.35
SimX	0.00542   	1	1.3
SimX	0.00542   	1	1.6
SimX	0.00544   	1	1.45
SimX	0.00544   	1	1.55
SimX	0.00544   	1	1.6
SimX	0.00544   	1	1.25
SimX	0.00544   	1	1.45
SimX	0.00546   	1	1.35
SimX	0.00546   	1	1.35
SimX	0.00546   	1	1.45
SimX	0.00546   	1	1.45
SimX	0.00546   	1	1.45
SimX	0.00546   	1	1.65
SimX	0.00546   	1	1.4
SimX	0.00548   	1	1.4
SimX	0.00548   	1	1.3
SimX	0.00548   	1	1.3
SimX	0.00548   	1	1.35
SimX	0.00548   	1	1.6
SimX	0.00548   	1	1.25
SimX	0.00548   	1	1.35
SimX	0.00548   	1	1.3
SimX	0.0055    	1	1.35
SimX	0.0055    	1	1.2
SimX	0.0055    	1	1.3
SimX	0.0055    	1	1.45
SimX	0.0055    	1	1.35
SimX	0.0055    	1	1.35
